person_age,person_gender,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,person_education_Associate,person_education_Bachelor,person_education_Doctorate,person_education_High School,person_education_Master,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,emp_exp_ratio,credit_score_per_year,high_risk_flag,age_bin,edu_income_interaction,true_label,prediction,interpretability
64.0,0,68127.0,44,10000.0,16.82,0.15,18.0,690,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.676923076923077,36.31578947368421,1,3,0.0,1,1,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate > 0.588 → person_home_ownership_OWN <= 0.500 → loan_int_rate > 0.645 → person_income <= 0.026 → loan_intent_EDUCATION <= 0.500 → loan_intent_VENTURE <= 0.500 → loan_intent_PERSONAL <= 0.500 → age_bin <= 0.875
23.0,0,99919.0,0,5000.0,8.49,0.05,4.0,676,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.0,135.2,0,0,0.0,0,0,previous_loan_defaults_on_file > 0.500
23.0,0,34728.0,1,8400.0,10.99,0.24,2.0,661,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.041666666666666664,220.33333333333334,0,0,0.0,0,0,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate <= 0.588 → person_income > 0.007 → loan_int_rate <= 0.383 → person_income <= 0.016 → loan_intent_HOMEIMPROVEMENT <= 0.500 → credit_score > 0.582 → loan_intent_VENTURE > 0.500
29.0,1,141611.0,8,12000.0,13.55,0.08,8.0,612,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.26666666666666666,68.0,0,1,141611.0,1,0,previous_loan_defaults_on_file <= 0.500 → loan_percent_income <= 0.371 → loan_int_rate <= 0.588 → person_income > 0.007 → loan_int_rate > 0.383 → person_income > 0.027 → credit_score > 0.463 → loan_intent_DEBTCONSOLIDATION <= 0.500 → loan_int_rate > 0.509 → person_income > 0.028
24.0,1,90234.0,0,25000.0,11.01,0.28,4.0,499,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.0,99.8,0,0,90234.0,0,0,previous_loan_defaults_on_file > 0.500
32.0,0,210954.0,8,20000.0,13.49,0.09,8.0,656,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.24242424242424243,72.88888888888889,0,1,0.0,0,0,previous_loan_defaults_on_file > 0.500
23.0,0,73161.0,2,2750.0,15.23,0.04,4.0,599,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0.08333333333333333,119.8,0,0,0.0,0,0,previous_loan_defaults_on_file > 0.500
33.0,0,102650.0,10,5000.0,13.61,0.05,7.0,657,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.29411764705882354,82.125,0,1,0.0,0,0,previous_loan_defaults_on_file > 0.500
29.0,0,26418.0,8,7750.0,7.51,0.29,10.0,648,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.26666666666666666,58.90909090909091,0,1,0.0,1,0,previous_loan_defaults_on_file <= 0.500 → loan_percent_income > 0.371 → person_home_ownership_RENT <= 0.500 → person_income > 0.007 → loan_int_rate <= 0.594 → person_home_ownership_OWN <= 0.500 → loan_int_rate <= 0.346 → person_income <= 0.013 → loan_amnt <= 0.270
25.0,1,96705.0,0,9000.0,11.01,0.09,2.0,691,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,230.33333333333334,0,0,0.0,0,0,previous_loan_defaults_on_file > 0.500
